"x"
"Personality",58
"Reproduction.and.Fecundity",45
"Mate.choice.and.Sexual.selection",43
"Locomotion",35
"Foraging",33
"Life.history",33
"Social.behavior",27
"IGE",27
"Communication",22
"Plasticity",20
"GxE",20
"Predator.avoidance",17
"Parental.Care",14
"Learning",12
"Migration",11
"Phenotypic.gambit",8
"Cooperation",1
